nDPI 4.0 supported protocols:
 Id Protocol                            Layer_4  Breed                  Category
  0 Unknown                             TCP      Unrated                Unspecified
  1 FTP_CONTROL                         TCP      Unsafe                 Download
  2 POP3                                TCP      Unsafe                 Email
  3 SMTP                                TCP      Acceptable             Email
  4 IMAP                                TCP      Unsafe                 Email
  5 DNS                                 TCP/UDP  Acceptable             Network
  6 IPP                                 TCP/UDP  Acceptable             System
  7 HTTP                                TCP      Acceptable             Web
  8 MDNS                                TCP      Acceptable             Network
  9 NTP                                 UDP      Acceptable             System
 10 NetBIOS                             TCP/UDP  Acceptable             System
 11 NFS                                 TCP/UDP  Acceptable             DataTransfer
 12 SSDP                                UDP      Acceptable             System
 13 BGP                                 TCP      Acceptable             Network
 14 SNMP                                UDP      Acceptable             Network
 15 XDMCP                               TCP/UDP  Acceptable             RemoteAccess
 16 SMBv1                               TCP      Dangerous              System
 17 Syslog                              TCP/UDP  Acceptable             System
 18 DHCP                                UDP      Acceptable             Network
 19 PostgreSQL                          TCP      Acceptable             Database
 20 MySQL                               TCP      Acceptable             Database
 21 Hotmail                             TCP      Acceptable             Email
 22 Direct_Download_Link                TCP      Potentially Dangerous  Download
 23 POPS                                TCP      Safe                   Email
 24 AppleJuice                          TCP      Potentially Dangerous  Download
 25 DirectConnect                       TCP/UDP  Potentially Dangerous  Download
 26 ntop                                TCP      Safe                   Network
 27 COAP                                UDP      Safe                   RPC
 28 VMware                              UDP      Acceptable             RemoteAccess
 29 SMTPS                               TCP      Safe                   Email
 30 DTLS                                UDP      Safe                   Web
 31 UBNTAC2                             UDP      Safe                   Network
 32 Kontiki                             UDP      Potentially Dangerous  Media
 33 OpenFT                              TCP      Potentially Dangerous  Download
 34 FastTrack                           TCP      Potentially Dangerous  Download
 35 Gnutella                            TCP/UDP  Potentially Dangerous  Download
 36 eDonkey                             TCP/UDP  Unsafe                 Download
 37 BitTorrent                          TCP/UDP  Acceptable             Download
 38 SkypeCall                           TCP      Acceptable             VoIP
 39 Signal                              TCP      Fun                    Chat
 40 Memcached                           TCP/UDP  Acceptable             Network
 41 SMBv23                              TCP      Acceptable             System
 42 Mining                              UDP      Unsafe                 Mining
 43 NestLogSink                         TCP      Acceptable             Cloud
 44 Modbus                              TCP      Acceptable             IoT-Scada
 45 WhatsAppCall                        TCP      Acceptable             VoIP
 46 DataSaver                           TCP      Fun                    Web
 47 Xbox                                UDP      Fun                    Game
 48 QQ                                  UDP      Fun                    Chat
 49 TikTok                              TCP      Fun                    SocialNetwork
 50 RTSP                                TCP/UDP  Fun                    Media
 51 IMAPS                               TCP      Safe                   Email
 52 IceCast                             TCP      Fun                    Media
 53 CPHA                                UDP      Fun                    Network
 54 PPStream                            TCP/UDP  Fun                    Streaming
 55 Zattoo                              TCP/UDP  Fun                    Video
 56 ShoutCast                           TCP      Fun                    Music
 57 Sopcast                             TCP/UDP  Fun                    Video
 58 Discord                             TCP      Fun                    Collaborative
 59 TVUplayer                           TCP/UDP  Fun                    Video
 60 MongoDB                             TCP      Acceptable             Database
 61 QQLive                              TCP      Fun                    Video
 62 Thunder                             TCP/UDP  Fun                    Download
 63 Soulseek                            TCP      Fun                    Download
 64 PS_VUE                              TCP      Acceptable             Video
 65 IRC                                 TCP      Unsafe                 Chat
 66 Ayiya                               UDP      Acceptable             Network
 67 Jabber                              TCP/UDP  Acceptable             Web
 68 Nats                                TCP      Acceptable             RPC
 69 AmongUs                             UDP      Fun                    Game
 70 Yahoo                               TCP      Safe                   Web
 71 DisneyPlus                          TCP      Fun                    Streaming
 72 GooglePlus                          TCP      Fun                    SocialNetwork
 73 VRRP                                TCP      Acceptable             Network
 74 Steam                               TCP/UDP  Fun                    Game
 75 HalfLife2                           UDP      Fun                    Game
 76 WorldOfWarcraft                     TCP      Fun                    Game
 77 Telnet                              TCP      Unsafe                 RemoteAccess
 78 STUN                                UDP      Acceptable             Network
 79 IPsec                                        Safe                   VPN
 80 GRE                                          Acceptable             Network
 81 ICMP                                         Acceptable             Network
 82 IGMP                                         Acceptable             Network
 83 EGP                                          Acceptable             Network
 84 SCTP                                         Acceptable             Network
 85 OSPF                                         Acceptable             Network
 86 IP_in_IP                                     Acceptable             Network
 87 RTP                                 UDP      Acceptable             Media
 88 RDP                                 TCP      Acceptable             RemoteAccess
 89 VNC                                 TCP      Acceptable             RemoteAccess
 90 Tumblr                              TCP      Fun                    SocialNetwork
 91 TLS                                 TCP      Safe                   Web
 92 SSH                                 TCP      Acceptable             RemoteAccess
 93 Usenet                              TCP      Acceptable             Web
 94 MGCP                                UDP      Acceptable             VoIP
 95 IAX                                 UDP      Acceptable             VoIP
 96 TFTP                                UDP      Acceptable             DataTransfer
 97 AFP                                 TCP      Acceptable             DataTransfer
 98 Stealthnet                          TCP      Potentially Dangerous  Download
 99 Aimini                              TCP/UDP  Fun                    Download
100 SIP                                 TCP/UDP  Acceptable             VoIP
101 TruPhone                            TCP      Acceptable             VoIP
102 ICMPV6                                       Acceptable             Network
103 DHCPV6                              UDP      Acceptable             Network
104 Armagetron                          UDP      Fun                    Game                
